DEPTH,CMSE_lateral,Shmin_lateral
7437,28242.73438,2031.447998
7438,28374.01172,2030.247803
7439,28505.28711,2029.047607
7440,28636.56445,2027.847412
7441,28352.5625,2032.415405
7442,28232.25977,2041.872803
7443,28111.95703,2051.330322
7444,27991.65625,2060.787598
7445,27871.35352,2070.245117
7446,27282.2832,2077.476074
7447,26948.61328,2080.591309
7448,26864.50977,2082.997559
7449,26756.55664,2083.668457
7450,26616.05469,2083.724365
7451,26485.60742,2084.907471
7452,26393.25781,2086.096191
7453,26142.72656,2087.517578
7454,26093.91602,2089.011475
7455,26079.03125,2089.161377
7456,25967.9082,2088.46167
7457,25864.39844,2091.639893
7458,25796.12891,2093.477051
7459,25727.85938,2095.314453
7460,25819.11523,2095.844727
7461,25908.7832,2097.155762
7462,26010.87305,2099.142334
7463,25868.02539,2100.474365
7464,25666.24414,2101.766846
7465,25518.63086,2102.481689
7466,25490.69531,2103.339844
7467,25305.24219,2106.546875
7468,25000.51563,2110.395752
7469,25008.87891,2109.95459
7470,25095.35938,2108.147461
7471,25169.19727,2106.466309
7472,25111.75391,2106.268799
7473,25065.0293,2105.850342
7474,25072.41797,2105.198975
7475,25140.88672,2104.157227
7476,25200.58398,2103.218994
7477,25266.875,2102.0979
7478,25386.06445,2101.05127
7479,25472.65234,2100.404297
7480,25584.57617,2099.758545
7481,25658.99414,2099.430908
7482,25735.5918,2098.763916
7483,25776.61523,2098.219727
7484,25769.41406,2098.020264
7485,25768.13086,2100.555664
7486,25744.61133,2102.405273
7487,25745.06445,2103.776611
7488,25733.39453,2102.43042
7489,25752.1582,2099.503906
7490,25551.4082,2095.794189
7491,25431.55664,2092.562256
7492,25330.43555,2089.3396
7493,25416.75586,2086.135254
7494,25510.73438,2084.20166
7495,25604.71289,2082.267822
7496,25848.26367,2078.984619
7497,26295.85938,2072.942871
7498,26706.47266,2067.456787
7499,27136.35742,2062.345947
7500,27424.56055,2059.515625
7501,27583.70313,2057.550537
7502,27679.71484,2056.509766
7503,27834.30859,2055.224854
7504,27946.60938,2053.411621
7505,28029.7793,2051.731934
7506,28057.56055,2051.020996
7507,28088.49609,2048.966064
7508,28110.51953,2046.927246
7509,28160.7168,2045.481689
7510,28227.50195,2044.26355
7511,28239.90625,2043.560547
7512,28299.25781,2043.088745
7513,28376.2207,2042.081421
7514,28463.92578,2041.877197
7515,28484.85742,2041.88269
7516,28476.75,2041.676758
7517,28499.00195,2040.505127
7518,28474.41602,2040.235596
7519,28374.9082,2039.927246
7520,28315.94336,2039.20752
7521,28298.20508,2038.589478
7522,28340.48438,2037.78186
7523,28374.44531,2037.43811
7524,28384.37109,2037.297241
7525,28511.1875,2036.552368
7526,28592.27148,2036.855591
7527,28652.11328,2037.995361
7528,28630.44531,2039.481445
7529,28615.98633,2039.737549
7530,28573.16016,2039.266724
7531,28451.31445,2038.293091
7532,28299.47656,2035.368286
7533,28149.84375,2034.961548
7534,28121.40625,2033.86377
7535,28146.10547,2032.77124
7536,28275.75391,2031.428467
7537,28605.8125,2029.974976
7538,28790.93164,2027.670654
7539,28998.85547,2025.323608
7540,29133.67188,2024.284058
7541,29212.75195,2023.667358
7542,29187.64063,2023.678711
7543,29043.55078,2026.096313
7544,29090.4668,2026.173706
7545,29081.52539,2026.513916
7546,29071.08984,2019.611084
7547,29079.65039,2016.012695
7548,29063.36719,2011.846558
7549,29017.01758,2004.811523
7550,28962.60352,1998.483521
7551,28923.94727,1991.71521
7552,29165.17578,1984.870483
7553,29411.88672,1977.951294
7554,29737.39648,1968.866943
7555,29913.34961,1964.709839
7556,30089.30273,1960.552734
7557,30474.39648,1951.654297
7558,30896.11523,1949.573853
7559,31060.46289,1944.124878
7560,31218.4043,1937.847046
7561,31368.94727,1934.596924
7562,31504.91016,1930.835815
7563,31622.87695,1926.935547
7564,31718.58398,1923.162231
7565,31787.12305,1919.453491
7566,31847.67773,1917.210449
7567,31900.11719,1914.084961
7568,31944.38086,1911.428345
7569,31981.00391,1908.81189
7570,32010.84766,1906.024048
7571,32035.20313,1905.216064
7572,32055.87695,1904.557983
7573,32073.22656,1904.015503
7574,32087.65234,1903.865479
7575,32099.5918,1903.883423
7576,32299.38672,1904.142822
7577,32513.34375,1904.422974
7578,32743.09961,1903.889648
7579,32990.28125,1903.164795
7580,33256.61328,1902.527222
7581,33543.94141,1902.127563
7582,33664.30469,1900.718994
7583,33778.04688,1899.28418
7584,33883.4375,1897.815063
7585,33978.46484,1896.304932
7586,34060.81641,1894.734253
7587,34127.83203,1893.092896
7588,34176.48828,1891.366699
7589,34219.17188,1890.47168
7590,34255.93359,1890.441772
7591,34286.97266,1890.443115
7592,34312.68359,1890.473389
7593,34333.67188,1890.523193
7594,34350.82422,1890.638794
7595,34365.35156,1890.824585
7596,34377.53516,1891.085327
7597,34387.66797,1891.426392
7598,34396.05859,1891.854248
7599,34403.00781,1892.376221
7600,34408.78516,1893.000488
7601,34413.61328,1893.118408
7602,34417.63672,1893.243042
7603,34420.97656,1893.373291
7604,34423.75391,1893.508057
7605,34426.0625,1893.646729
7606,34427.98438,1893.786499
7607,34429.58203,1900.48584
7608,34430.91406,1904.726318
7609,34432.01953,1909.153931
7610,34432.94141,1917.325439
7611,34433.70703,1929.611572
7612,33901,1942.079834
7613,33572.48828,1953.123169
7614,33216.46484,1964.623291
7615,32513.76758,1976.756226
7616,31421.87109,1990.231201
7617,31040.30664,1995.136475
7618,30658.74414,2000.041748
7619,30277.17969,2004.947021
7620,30218.81836,2005.911621
7621,30160.45703,2006.876343
7622,30102.0957,2007.840942
7623,30043.73438,2008.805542
7624,29985.37305,2009.770264
7625,29927.01172,2010.734863
7626,29868.65039,2011.699463
7627,29810.28906,2012.664185
7628,29751.92773,2013.628784
7629,28988.32813,2025.008789
7630,28185.42188,2037.074707
7631,27601.82031,2045.658936
7632,27315.07422,2050.683594
7633,27043.01953,2055.987061
7634,26692.75781,2063.306396
7635,26323.14258,2071.073975
7636,25995.50195,2078.536133
7637,25733.39648,2085.046387
7638,25527.64453,2091.053711
7639,25330.75586,2096.594727
7640,25068.9668,2102.026611
7641,24846.875,2107.135986
7642,24630.11523,2112.078369
7643,24427.34961,2116.18457
7644,24233.69922,2120.271484
7645,24080.97656,2124.021973
7646,23951.75195,2127.263916
7647,23818.83398,2130.244873
7648,23712.49609,2132.946045
7649,23629.32617,2134.768066
7650,23576.0918,2136.164063
7651,23492.81055,2138.156006
7652,23447.91211,2139.76123
7653,23421.09375,2141.12915
7654,23409.62695,2141.1521
7655,23429.65039,2142.143799
7656,23414.72852,2142.619873
7657,23413.65234,2143.078613
7658,23406.70117,2143.951904
7659,23507.87305,2144.74585
7660,23489.61719,2145.339355
7661,23501.78711,2145.951416
7662,23522.55273,2146.200439
7663,23519.43555,2146.327393
7664,23520.13867,2146.644531
7665,23445.54883,2147.610352
7666,23463.70703,2147.570068
7667,23437.79688,2147.987793
7668,23432.98633,2148.088623
7669,23435.38477,2147.470703
7670,23490.84961,2146.826172
7671,23492.89453,2146.551758
7672,23499.23828,2149.067871
7673,23512.82422,2150.356445
7674,23553.63672,2151.66333
7675,23618.95898,2152.686279
7676,23633.78125,2154.489014
7677,23669.6875,2155.614258
7678,23585.60938,2156.585693
7679,23496.37695,2157.776611
7680,23379.85938,2159.39624
7681,23248.74805,2160.758545
7682,23131.71094,2162.530029
7683,23019.42773,2161.045654
7684,23002.78906,2160.449951
7685,22984.53516,2159.403564
7686,22994.48828,2158.235107
7687,22992.37695,2156.618164
7688,23009.87109,2155.210693
7689,23034.34961,2153.857422
7690,23115.26953,2152.080811
7691,23215.6543,2149.915527
7692,23323.64844,2147.946289
7693,23466.53516,2145.650635
7694,23585.11133,2142.420166
7695,23710.27148,2140.053223
7696,23828.47656,2139.595459
7697,23942.88672,2139.019531
7698,24022.85156,2138.846436
7699,24195.53516,2138.384766
7700,24306.80273,2137.612793
7701,24284.0625,2137.10498
7702,24251.78125,2136.958008
7703,24203.48242,2137.019043
7704,24181.9668,2136.53125
7705,24084.57031,2136.911621
7706,24016.84766,2134.175537
7707,24049.22266,2127.234131
7708,24059,2118.124756
